drug_id,drug_name,target_id,target_uniprot,target_name,target_gene,action,atc_codes
DB00009,Alteplase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,,B01AD02;S01XA13
DB00010,Sermorelin,,Q02643,Growth hormone-releasing hormone receptor,GHRHR,agonist,V04CD03;H01AC04
DB00011,Interferon alfa-n1,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,L03AB06
DB00011,Interferon alfa-n1,,P48551,Interferon alpha/beta receptor 2,IFNAR2,agonist,L03AB06
DB00012,Darbepoetin alfa,,P19235,Erythropoietin receptor,EPOR,agonist,B03XA02
DB00013,Urokinase,,P00747,Plasminogen,PLG,activator,B01AD04
DB00013,Urokinase,,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,inducer,B01AD04
DB00013,Urokinase,,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,modulator,B01AD04
DB00013,Urokinase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,substrate,B01AD04
DB00013,Urokinase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,inducer,B01AD04
DB00013,Urokinase,,P05120,Plasminogen activator inhibitor 2,SERPINB2,substrate,B01AD04
DB00013,Urokinase,,P05120,Plasminogen activator inhibitor 2,SERPINB2,inducer,B01AD04
DB00013,Urokinase,,P05154,Plasma serine protease inhibitor,SERPINA5,substrate,B01AD04
DB00013,Urokinase,,P98164,Low-density lipoprotein receptor-related protein 2,LRP2,substrate,B01AD04
DB00013,Urokinase,,Q9Y5Y6,Suppressor of tumorigenicity 14 protein,ST14,substrate,B01AD04
DB00013,Urokinase,,P14543,Nidogen-1,NID1,ligand,B01AD04
DB00014,Goserelin,,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,agonist,L02AE03
DB00014,Goserelin,,P30968,Gonadotropin-releasing hormone receptor,GNRHR,agonist,L02AE03
DB00015,Reteplase,,P00747,Plasminogen,PLG,activator,B01AD07
DB00015,Reteplase,,P02671,Fibrinogen alpha chain,FGA,,B01AD07
DB00015,Reteplase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,,B01AD07
DB00016,Erythropoietin,,P19235,Erythropoietin receptor,EPOR,agonist,B03XA01
DB00017,Salmon calcitonin,,P30988,Calcitonin receptor,CALCR,agonist,H05BA01
DB00018,Interferon alfa-n3,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,
DB00018,Interferon alfa-n3,,P48551,Interferon alpha/beta receptor 2,IFNAR2,agonist,
DB00019,Pegfilgrastim,,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R,agonist,L03AA13
DB00020,Sargramostim,,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,agonist,L03AA09
DB00020,Sargramostim,,P26951,Interleukin-3 receptor subunit alpha,IL3RA,agonist,L03AA09
DB00020,Sargramostim,,P32927,Cytokine receptor common subunit beta,CSF2RB,agonist,L03AA09
DB00020,Sargramostim,,P34741,Syndecan-2,SDC2,agonist,L03AA09
DB00020,Sargramostim,,P13727,Bone marrow proteoglycan,PRG2,,L03AA09
DB00022,Peginterferon alfa-2b,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,L03AB10;L03AB60
DB00022,Peginterferon alfa-2b,,P48551,Interferon alpha/beta receptor 2,IFNAR2,agonist,L03AB10;L03AB60
DB00023,Asparaginase Escherichia coli,,,L-asparagine,,other/unknown,L01XX02
DB00024,Thyrotropin alfa,,P16473,Thyrotropin receptor,TSHR,agonist,H01AB01
DB00025,"Antihemophilic factor, human recombinant",,P00742,Coagulation factor X,F10,activator,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P00740,Coagulation factor IX,F9,cofactor,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P04275,von Willebrand factor,VWF,binder,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,O14832,"Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,antagonist,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P07307,Asialoglycoprotein receptor 2,ASGR2,binder,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P11021,78 kDa glucose-regulated protein,HSPA5,chaperone,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P27797,Calreticulin,CALR,chaperone,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P27824,Calnexin,CANX,chaperone,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,P49257,Protein ERGIC-53,LMAN1,chaperone,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1,modulator,B02BD02
DB00025,"Antihemophilic factor, human recombinant",,Q8NI22,Multiple coagulation factor deficiency protein 2,MCFD2,modulator,B02BD02
DB00026,Anakinra,,P14778,Interleukin-1 receptor type 1,IL1R1,antagonist,L04AC03
DB00028,Human immunoglobulin G,,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,antagonist,
DB00028,Human immunoglobulin G,,Q92637,High affinity immunoglobulin gamma Fc receptor IB,FCGR1B,antagonist,
DB00028,Human immunoglobulin G,,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,antagonist,
DB00028,Human immunoglobulin G,,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,antagonist,
DB00028,Human immunoglobulin G,,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,antagonist,
DB00028,Human immunoglobulin G,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,antagonist,
DB00028,Human immunoglobulin G,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,antagonist,
DB00028,Human immunoglobulin G,,P01024,Complement C3,C3,binder,
DB00028,Human immunoglobulin G,,P0C0L4,Complement C4-A,C4A,binder,
DB00028,Human immunoglobulin G,,P0C0L5,Complement C4-B,C4B,binder,
DB00028,Human immunoglobulin G,,P01031,Complement C5,C5,binder,
DB00029,Anistreplase,,P00747,Plasminogen,PLG,activator,B01AD03
DB00029,Anistreplase,,P02671,Fibrinogen alpha chain,FGA,,B01AD03
DB00029,Anistreplase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,,B01AD03
DB00030,Insulin human,,P06213,Insulin receptor,INSR,agonist,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,P08069,Insulin-like growth factor 1 receptor,IGF1R,activator,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,P16870,Carboxypeptidase E,CPE,modulator,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,P16870,Carboxypeptidase E,CPE,product of,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,P48745,Protein NOV homolog,NOV,downregulator,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,P98164,Low-density lipoprotein receptor-related protein 2,LRP2,substrate,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,inhibitor,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00030,Insulin human,,Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,binder,A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
DB00031,Tenecteplase,,P00747,Plasminogen,PLG,activator,B01AD11
DB00031,Tenecteplase,,P02671,Fibrinogen alpha chain,FGA,,B01AD11
DB00031,Tenecteplase,,Q03405,Urokinase plasminogen activator surface receptor,PLAUR,,B01AD11
DB00031,Tenecteplase,,P05121,Plasminogen activator inhibitor 1,SERPINE1,,B01AD11
DB00031,Tenecteplase,,P05120,Plasminogen activator inhibitor 2,SERPINB2,,B01AD11
DB00031,Tenecteplase,,P05452,Tetranectin,CLEC3B,,B01AD11
DB00031,Tenecteplase,,P05787,"Keratin, type II cytoskeletal 8",KRT8,,B01AD11
DB00031,Tenecteplase,,P07355,Annexin A2,ANXA2,,B01AD11
DB00031,Tenecteplase,,P27797,Calreticulin,CALR,,B01AD11
DB00031,Tenecteplase,,P27824,Calnexin,CANX,,B01AD11
DB00031,Tenecteplase,,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1,,B01AD11
DB00032,Menotropins,,P23945,Follicle-stimulating hormone receptor,FSHR,binder,G03GA02;G03GA03
DB00032,Menotropins,,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,,G03GA02;G03GA03
DB00033,Interferon gamma-1b,,P15260,Interferon gamma receptor 1,IFNGR1,binder,
DB00033,Interferon gamma-1b,,P38484,Interferon gamma receptor 2,IFNGR2,binder,
DB00034,Interferon alfa-2a,,P17181,Interferon alpha/beta receptor 1,IFNAR1,,L03AB04
DB00034,Interferon alfa-2a,,P48551,Interferon alpha/beta receptor 2,IFNAR2,,L03AB04
DB00035,Desmopressin,,P30518,Vasopressin V2 receptor,AVPR2,agonist,H01BA02
DB00035,Desmopressin,,P37288,Vasopressin V1a receptor,AVPR1A,,H01BA02
DB00035,Desmopressin,,P47901,Vasopressin V1b receptor,AVPR1B,,H01BA02
DB00036,Coagulation factor VIIa Recombinant Human,,P00742,Coagulation factor X,F10,,B02BD08
DB00036,Coagulation factor VIIa Recombinant Human,,P13726,Tissue factor,F3,,B02BD08
DB00036,Coagulation factor VIIa Recombinant Human,,P10646,Tissue factor pathway inhibitor,TFPI,,B02BD08
DB00036,Coagulation factor VIIa Recombinant Human,,P38435,Vitamin K-dependent gamma-carboxylase,GGCX,,B02BD08
DB00036,Coagulation factor VIIa Recombinant Human,,P08709,Coagulation factor VII,F7,,B02BD08
DB00038,Oprelvekin,,Q14626,Interleukin-11 receptor subunit alpha,IL11RA,agonist,L03AC02
DB00039,Palifermin,,P21802,Fibroblast growth factor receptor 2,FGFR2,agonist,V03AF08
DB00039,Palifermin,,P21802,Fibroblast growth factor receptor 2,FGFR2,binder,V03AF08
DB00039,Palifermin,,P11362,Fibroblast growth factor receptor 1,FGFR1,agonist,V03AF08
DB00039,Palifermin,,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,ligand,V03AF08
DB00040,Glucagon,,P47871,Glucagon receptor,GCGR,agonist,H04AA01
DB00040,Glucagon,,O95838,Glucagon-like peptide 2 receptor,GLP2R,agonist,H04AA01
DB00040,Glucagon,,P43220,Glucagon-like peptide 1 receptor,GLP1R,agonist,H04AA01
DB00041,Aldesleukin,,P14784,Interleukin-2 receptor subunit beta,IL2RB,agonist,L03AC01
DB00041,Aldesleukin,,P14784,Interleukin-2 receptor subunit beta,IL2RB,modulator,L03AC01
DB00041,Aldesleukin,,P01589,Interleukin-2 receptor subunit alpha,IL2RA,agonist,L03AC01
DB00041,Aldesleukin,,P01589,Interleukin-2 receptor subunit alpha,IL2RA,modulator,L03AC01
DB00041,Aldesleukin,,P31785,Cytokine receptor common subunit gamma,IL2RG,agonist,L03AC01
DB00042,Botulinum toxin type B,,P63027,Vesicle-associated membrane protein 2,VAMP2,binder,M03AX01
DB00042,Botulinum toxin type B,,P23763,Vesicle-associated membrane protein 1,VAMP1,binder,M03AX01
DB00042,Botulinum toxin type B,,Q8N9I0,Synaptotagmin-2,SYT2,,M03AX01
DB00043,Omalizumab,,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,inhibitor,R03DX05
DB00043,Omalizumab,,Q01362,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2,inhibitor,R03DX05
DB00044,Lutropin alfa,,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,agonist,G03GA07
DB00045,Lyme disease vaccine (recombinant OspA),,O60603,Toll-like receptor 2,TLR2,other/unknown,
DB00046,Insulin lispro,,P06213,Insulin receptor,INSR,agonist,A10AC04;A10AB04;A10AD04
DB00046,Insulin lispro,,P08069,Insulin-like growth factor 1 receptor,IGF1R,activator,A10AC04;A10AB04;A10AD04
DB00047,Insulin glargine,,P06213,Insulin receptor,INSR,agonist,A10AE54;A10AE04
DB00047,Insulin glargine,,P08069,Insulin-like growth factor 1 receptor,IGF1R,activator,A10AE54;A10AE04
DB00048,Collagenase clostridium histolyticum,,P02452,Collagen alpha-1(I) chain,COL1A1,binder,D03BA02;M09AB02;D03BA52
DB00048,Collagenase clostridium histolyticum,,P02458,Collagen alpha-1(II) chain,COL2A1,binder,D03BA02;M09AB02;D03BA52
DB00048,Collagenase clostridium histolyticum,,P02461,Collagen alpha-1(III) chain,COL3A1,binder,D03BA02;M09AB02;D03BA52
DB00049,Rasburicase,,,Uric acid,,metabolizer,V03AF07;M04AX01
DB00050,Cetrorelix,,P30968,Gonadotropin-releasing hormone receptor,GNRHR,antagonist,H01CC02
DB00050,Cetrorelix,,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,,H01CC02
DB00051,Adalimumab,,P01375,Tumor necrosis factor,TNF,inhibitor,L04AB04
DB00051,Adalimumab,,P01375,Tumor necrosis factor,TNF,antibody,L04AB04
DB00052,Somatotropin,,P10912,Growth hormone receptor,GHR,ligand,H01AC01
DB00052,Somatotropin,,P16471,Prolactin receptor,PRLR,ligand,H01AC01
DB00053,Imiglucerase,,,Glucocerebroside,,other/unknown,A16AB02
DB00054,Abciximab,,P05106,Integrin beta-3,ITGB3,antagonist,B01AC13
DB00054,Abciximab,,P08514,Integrin alpha-IIb,ITGA2B,antagonist,B01AC13
DB00054,Abciximab,,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,,B01AC13
DB00054,Abciximab,,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,,B01AC13
DB00054,Abciximab,,P04004,Vitronectin,VTN,,B01AC13
DB00055,Drotrecogin alfa,,P00451,Coagulation factor VIII,F8,inhibitor,B01AD10
DB00055,Drotrecogin alfa,,P12259,Coagulation factor V,F5,inhibitor,B01AD10
DB00055,Drotrecogin alfa,,P05121,Plasminogen activator inhibitor 1,SERPINE1,,B01AD10
DB00055,Drotrecogin alfa,,P07204,Thrombomodulin,THBD,,B01AD10
DB00055,Drotrecogin alfa,,P07225,Vitamin K-dependent protein S,PROS1,,B01AD10
DB00055,Drotrecogin alfa,,P00734,Prothrombin,F2,,B01AD10
DB00055,Drotrecogin alfa,,P02776,Platelet factor 4,PF4,,B01AD10
DB00055,Drotrecogin alfa,,P05154,Plasma serine protease inhibitor,SERPINA5,,B01AD10
DB00055,Drotrecogin alfa,,P35237,Serpin B6,SERPINB6,,B01AD10
DB00055,Drotrecogin alfa,,Q9UNN8,Endothelial protein C receptor,PROCR,,B01AD10
DB00056,Gemtuzumab ozogamicin,,P20138,Myeloid cell surface antigen CD33,CD33,antibody,L01FX02
DB00056,Gemtuzumab ozogamicin,,P20138,Myeloid cell surface antigen CD33,CD33,regulator,L01FX02
DB00056,Gemtuzumab ozogamicin,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,,L01FX02
DB00056,Gemtuzumab ozogamicin,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,,L01FX02
DB00056,Gemtuzumab ozogamicin,,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,,L01FX02
DB00057,Indium In-111 satumomab pendetide,,,Tumor-associated glycoprotein 72 (TAG-72),,other/unknown,V09IB02
DB00058,Alpha-1-proteinase inhibitor,,P08246,Neutrophil elastase,ELANE,inhibitor,B02AB02
DB00059,Pegaspargase,,,L-asparagine,,substrate,L01XX24
DB00060,Interferon beta-1a,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,L03AB07
DB00060,Interferon beta-1a,,P48551,Interferon alpha/beta receptor 2,IFNAR2,,L03AB07
DB00061,Pegademase,,,Adenosine,,metabolizer,L03AX04
DB00061,Pegademase,,P62993,Growth factor receptor-bound protein 2,GRB2,binder,L03AX04
DB00062,Albumin human,,,Nitric oxide,,binder,B05AA01
DB00063,Eptifibatide,,P05106,Integrin beta-3,ITGB3,,B01AC16
DB00063,Eptifibatide,,A0A024R8I1,Voltage-dependent N-type calcium channel,CACNA1B,antagonist,B01AC16
DB00065,Infliximab,,P01375,Tumor necrosis factor,TNF,inhibitor,L04AB02
DB00066,Follitropin,,P23945,Follicle-stimulating hormone receptor,FSHR,agonist,G03GA06;G03GA10;G03GA05
DB00067,Vasopressin,,P30518,Vasopressin V2 receptor,AVPR2,agonist,
DB00067,Vasopressin,,P30518,Vasopressin V2 receptor,AVPR2,regulator,
DB00067,Vasopressin,,P37288,Vasopressin V1a receptor,AVPR1A,agonist,
DB00067,Vasopressin,,P37288,Vasopressin V1a receptor,AVPR1A,regulator,
DB00067,Vasopressin,,P47901,Vasopressin V1b receptor,AVPR1B,agonist,
DB00067,Vasopressin,,P30559,Oxytocin receptor,OXTR,agonist,
DB00068,Interferon beta-1b,,P17181,Interferon alpha/beta receptor 1,IFNAR1,agonist,L03AB08
DB00068,Interferon beta-1b,,P48551,Interferon alpha/beta receptor 2,IFNAR2,agonist,L03AB08
DB00069,Interferon alfacon-1,,P17181,Interferon alpha/beta receptor 1,IFNAR1,binder,L03AB09
DB00069,Interferon alfacon-1,,P48551,Interferon alpha/beta receptor 2,IFNAR2,binder,L03AB09
DB00070,Hyaluronidase (ovine),,,Hyaluronan,,other,
DB00070,Hyaluronidase (ovine),,P01137,Transforming growth factor beta-1,TGFB1,inhibitor,
DB00071,Insulin pork,,P06213,Insulin receptor,INSR,binder,A10AC03;A10AB03;A10AE03;A10AD03
DB00071,Insulin pork,,P08069,Insulin-like growth factor 1 receptor,IGF1R,,A10AC03;A10AB03;A10AE03;A10AD03
DB00072,Trastuzumab,,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,binder,L01FD01;L01XY02
DB00072,Trastuzumab,,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,antibody,L01FD01;L01XY02
DB00073,Rituximab,,P11836,B-lymphocyte antigen CD20,MS4A1,antibody,L01FA01
DB00073,Rituximab,,P11836,B-lymphocyte antigen CD20,MS4A1,regulator,L01FA01
DB00074,Basiliximab,,P01589,Interleukin-2 receptor subunit alpha,IL2RA,antibody,L04AC02
DB00074,Basiliximab,,P14784,Interleukin-2 receptor subunit beta,IL2RB,antibody,L04AC02
DB00075,Muromonab,,P04234,T-cell surface glycoprotein CD3 delta chain,CD3D,,L04AA02
DB00075,Muromonab,,P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E,binder,L04AA02
DB00075,Muromonab,,P09693,T-cell surface glycoprotein CD3 gamma chain,CD3G,,L04AA02
DB00075,Muromonab,,P20963,T-cell surface glycoprotein CD3 zeta chain,CD247,,L04AA02
DB00075,Muromonab,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,,L04AA02
DB00076,Digoxin Immune Fab (Ovine),,,Digoxin,,other/unknown,V03AB24
DB00078,Ibritumomab tiuxetan,,P11836,B-lymphocyte antigen CD20,MS4A1,antibody,V10XX02
DB00078,Ibritumomab tiuxetan,,P11836,B-lymphocyte antigen CD20,MS4A1,regulator,V10XX02
DB00080,Daptomycin,,,Cytoplasmic membrane,,incorporation into and destabilization,J01XX09
DB00081,Tositumomab,,P11836,B-lymphocyte antigen CD20,MS4A1,antibody,V10XA53
DB00081,Tositumomab,,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,,V10XA53
DB00082,Pegvisomant,,P10912,Growth hormone receptor,GHR,antagonist,H01AX01
DB00083,Botulinum toxin type A,,P60880,Synaptosomal-associated protein 25,SNAP25,inhibitor,M03AX01
DB00083,Botulinum toxin type A,,P62745,Rho-related GTP-binding protein RhoB,RHOB,inhibitor,M03AX01
DB00085,Pancrelipase,,,Dietary fat,,cleavage,A09AA02
DB00085,Pancrelipase,,,Dietary protein,,cleavage,A09AA02
DB00085,Pancrelipase,,,Dietary starch,,cleavage,A09AA02
DB00086,Streptokinase,,P00747,Plasminogen,PLG,activator,B01AD01;B06AA55
DB00086,Streptokinase,,P25116,Proteinase-activated receptor 1,F2R,activator,B01AD01;B06AA55
DB00087,Alemtuzumab,,P31358,CAMPATH-1 antigen,CD52,antibody,L04AA34
DB00087,Alemtuzumab,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,binder,L04AA34
DB00087,Alemtuzumab,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,binder,L04AA34
DB00087,Alemtuzumab,,P12314,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,binder,L04AA34
DB00087,Alemtuzumab,,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,binder,L04AA34
DB00087,Alemtuzumab,,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,binder,L04AA34
DB00087,Alemtuzumab,,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,binder,L04AA34
DB00088,Alglucerase,,,Glucocerebroside,,other/unknown,A16AB01
DB00089,Capromab pendetide,,Q04609,Glutamate carboxypeptidase 2,FOLH1,other/unknown,V09IB04
DB00090,Laronidase,,,Iduronic acid,,other/unknown,A16AB05
DB00091,Cyclosporine,,P49069,Calcium signal-modulating cyclophilin ligand,CAMLG,binder,L04AD01;S01XA18
DB00091,Cyclosporine,,Q96LZ3,Calcineurin subunit B type 2,PPP3R2,inhibitor,L04AD01;S01XA18
DB00091,Cyclosporine,,P62937,Peptidyl-prolyl cis-trans isomerase A,PPIA,inhibitor,L04AD01;S01XA18
DB00091,Cyclosporine,,P62937,Peptidyl-prolyl cis-trans isomerase A,PPIA,binder,L04AD01;S01XA18
DB00091,Cyclosporine,,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,binder,L04AD01;S01XA18
DB00092,Alefacept,,P06729,T-cell surface antigen CD2,CD2,inhibitor,L04AA15
DB00092,Alefacept,,P06729,T-cell surface antigen CD2,CD2,antibody,L04AA15
DB00092,Alefacept,,P06729,T-cell surface antigen CD2,CD2,regulator,L04AA15
DB00092,Alefacept,,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,,L04AA15
DB00092,Alefacept,,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,,L04AA15
DB00093,Felypressin,,P37288,Vasopressin V1a receptor,AVPR1A,agonist,
DB00094,Urofollitropin,,P23945,Follicle-stimulating hormone receptor,FSHR,agonist,G03GA04
DB00095,Efalizumab,,P20702,Integrin alpha-X,ITGAX,antibody,L04AA21
DB00095,Efalizumab,,P20701,Integrin alpha-L,ITGAL,antibody,L04AA21
DB00097,Choriogonadotropin alfa,,P22888,Lutropin-choriogonadotropic hormone receptor,LHCGR,,G03GA08
DB00097,Choriogonadotropin alfa,,P23945,Follicle-stimulating hormone receptor,FSHR,binder,G03GA08
DB00098,Antithymocyte immunoglobulin (rabbit),,Q95460,Major histocompatibility complex class I-related gene protein,MR1,antagonist,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P20701,Integrin alpha-L,ITGAL,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P42081,T-lymphocyte activation antigen CD86,CD86,binder,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P01730,T-cell surface glycoprotein CD4,CD4,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P05556,Integrin beta-1,ITGB1,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P06756,Integrin alpha-V,ITGAV,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P05106,Integrin beta-3,ITGB3,,L04AA04
DB00098,Antithymocyte immunoglobulin (rabbit),,P06126,T-cell surface glycoprotein CD1a,CD1A,inhibitor,L04AA04
DB00099,Filgrastim,,Q99062,Granulocyte colony-stimulating factor receptor,CSF3R,stimulator,L03AA02
DB00100,Coagulation Factor IX (Recombinant),,P00742,Coagulation factor X,F10,activator,
DB00100,Coagulation Factor IX (Recombinant),,P03951,Coagulation factor XI,F11,ligand,
DB00100,Coagulation Factor IX (Recombinant),,P08709,Coagulation factor VII,F7,ligand,
DB00100,Coagulation Factor IX (Recombinant),,P00451,Coagulation factor VIII,F8,cofactor,
DB00100,Coagulation Factor IX (Recombinant),,P00734,Prothrombin,F2,,
DB00100,Coagulation Factor IX (Recombinant),,Q07954,Prolow-density lipoprotein receptor-related protein 1,LRP1,,
DB00100,Coagulation Factor IX (Recombinant),,P38435,Vitamin K-dependent gamma-carboxylase,GGCX,,
DB00102,Becaplermin,,P09619,Platelet-derived growth factor receptor beta,PDGFRB,,D03AX06;A01AD08
DB00102,Becaplermin,,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,,D03AX06;A01AD08
